sentence;arg1;rel;arg2;gold;pred;score;pattern_ud;subj_deprel;obj_deprel
Em 2013, Beyoncé fez a Lista Time 100, Baz Luhrmann escrevendo ninguém tem essa voz, ninguém se move de o jeito que ela se move, ninguém pode manter uma audiência de o jeito que ela faz... Quando Beyoncé faz um álbum, quando Beyoncé canta uma música, quando Beyoncé faz qualquer coisa, é um evento e é amplamente influente.;ninguém;pode;manter uma audiência;0;1;;verb+xcomp;nsubj;xcomp
Em 2013, Beyoncé fez a Lista Time 100, Baz Luhrmann escrevendo ninguém tem essa voz, ninguém se move de o jeito que ela se move, ninguém pode manter uma audiência de o jeito que ela faz... Quando Beyoncé faz um álbum, quando Beyoncé canta uma música, quando Beyoncé faz qualquer coisa, é um evento e é amplamente influente.;ninguém;pode manter;uma audiência de o jeito que ela faz;1;0;0.0;unknown;;
Em 2013, foi anunciado que Beyoncé trabalharia com Salma Hayek e Frida Giannini em uma campanha de a Gucci Chime for Change, que visa espalhar o empoderamento feminino.;Beyoncé;trabalharia em;em uma campanha de a Gucci Chime for Change;0;1;;verb+obl;nsubj;obl
Em 2013, foi anunciado que Beyoncé trabalharia com Salma Hayek e Frida Giannini em uma campanha de a Gucci Chime for Change, que visa espalhar o empoderamento feminino.;que;visa;espalhar o empoderamento feminino;0;1;;verb+xcomp;nsubj;xcomp
Em 2013, foi anunciado que Beyoncé trabalharia com Salma Hayek e Frida Giannini em uma campanha de a Gucci Chime for Change, que visa espalhar o empoderamento feminino.;Beyoncé;trabalharia com Salma Hayek e Frida Giannini em;uma campanha de a Gucci;1;0;0.0;unknown;;
O Bureau de o Censo de os Estados Unidos estima que a população de Montana era 1.032.949 em 1º de julho de 2015, um aumento de 4,40 % desde o Censo de os Estados Unidos de 2010.;a população de Montana;era;1.032.949;0;1;;cop;nsubj;ccomp
O Bureau de o Censo de os Estados Unidos estima que a população de Montana era 1.032.949 em 1º de julho de 2015, um aumento de 4,40 % desde o Censo de os Estados Unidos de 2010.;a população de Montana;era;1.032.949 1º;0;1;;cop;nsubj;ccomp
O Bureau de o Censo de os Estados Unidos estima que a população de Montana era 1.032.949 em 1º de julho de 2015, um aumento de 4,40 % desde o Censo de os Estados Unidos de 2010.;O Bureau de o Censo de os Estados Unidos;estima;que a população 1.032.949;0;1;;verb+ccomp;nsubj;ccomp
O Bureau de o Censo de os Estados Unidos estima que a população de Montana era 1.032.949 em 1º de julho de 2015, um aumento de 4,40 % desde o Censo de os Estados Unidos de 2010.;O Bureau de o Censo de os Estados Unidos;estima;que a população de Montana era 1.032.949 em 1º de julho de 2015;1;0;0.0;unknown;;
O Aeroporto Internacional de Bozeman Yellowstone é o aeroporto mais movimentado de o estado de Montana, superando o Aeroporto Internacional Billings Logan em a primavera de 2013;O Aeroporto Internacional de Bozeman Yellowstone;é;aeroporto;0;1;;cop;nsubj;root
O Aeroporto Internacional de Bozeman Yellowstone é o aeroporto mais movimentado de o estado de Montana, superando o Aeroporto Internacional Billings Logan em a primavera de 2013;O Aeroporto Internacional de Bozeman Yellowstone;é;o aeroporto mais movimentado de o estado de Montana;1;0;0.0;unknown;;
Na primavera de 1834, Chopin participou de o Festival de Música de o Baixo Reno em Aix-la-Chapelle com Hiller, e foi lá que Chopin conheceu Felix Mendelssohn.;Chopin;participou de;o Festival de Música de o Baixo Reno;1;1;;verb+obj;nsubj;obj
Na primavera de 1834, Chopin participou de o Festival de Música de o Baixo Reno em Aix-la-Chapelle com Hiller, e foi lá que Chopin conheceu Felix Mendelssohn.;Chopin;conheceu;Felix Mendelssohn;0;1;;verb+obj;nsubj;obj
Na primavera de 1834, Chopin participou de o Festival de Música de o Baixo Reno em Aix-la-Chapelle com Hiller, e foi lá que Chopin conheceu Felix Mendelssohn.;Chopin;participou de;o Festival de Música de o Baixo Reno em Aix-la-Chapelle;1;1;;verb+obj[+obl];nsubj;obj
Na primavera de 1834, Chopin participou de o Festival de Música de o Baixo Reno em Aix-la-Chapelle com Hiller, e foi lá que Chopin conheceu Felix Mendelssohn.;Chopin;participou em;em Aix-la-Chapelle;0;1;;verb+nary-split;nsubj;obl
Mais tarde naquela manhã, o marido de Solange, Clésinger, fez a máscara mortuária de Chopin e um giro de a mão esquerda.;o marido de Solange;fez;a máscara mortuária de Chopin;1;1;;verb+obj[coord];nsubj;obj
Mais tarde naquela manhã, o marido de Solange, Clésinger, fez a máscara mortuária de Chopin e um giro de a mão esquerda.;o marido de Solange;fez;um giro de a mão esquerda;0;1;;verb+obj[coord];nsubj;obj
Em 1841, Léon Escudier escreveu sobre um recital de Chopin naquele ano Pode-se dizer que Chopin é o criador de uma escola de piano e escola de composição.;Léon Escudier;escreveu sobre;um recital de Chopin em aquele ano;0;1;;verb+obj;nsubj;obj
Em 1841, Léon Escudier escreveu sobre um recital de Chopin naquele ano Pode-se dizer que Chopin é o criador de uma escola de piano e escola de composição.;Chopin;é;criador;0;1;;cop;nsubj;ccomp
Em 1841, Léon Escudier escreveu sobre um recital de Chopin naquele ano Pode-se dizer que Chopin é o criador de uma escola de piano e escola de composição.;Chopin;é;o criador escola;0;1;;cop;nsubj;ccomp
Em 1841, Léon Escudier escreveu sobre um recital de Chopin naquele ano Pode-se dizer que Chopin é o criador de uma escola de piano e escola de composição.;se;dizer;que Chopin o criador;0;1;;verb+ccomp;nsubj;ccomp
Em 1841, Léon Escudier escreveu sobre um recital de Chopin naquele ano Pode-se dizer que Chopin é o criador de uma escola de piano e escola de composição.;Léon Escudier;escreveu sobre;um recital de Chopin;1;0;0.0;unknown;;
Em 1841, Léon Escudier escreveu sobre um recital de Chopin naquele ano Pode-se dizer que Chopin é o criador de uma escola de piano e escola de composição.;Chopin;é;o criador de uma escola de piano;1;0;0.0;unknown;;
Em 1841, Léon Escudier escreveu sobre um recital de Chopin naquele ano Pode-se dizer que Chopin é o criador de uma escola de piano e escola de composição.;Chopin;é;o criador de uma escola de piano e escola de composição;1;0;0.0;unknown;;
Em 1841, Léon Escudier escreveu sobre um recital de Chopin naquele ano Pode-se dizer que Chopin é o criador de uma escola de piano e escola de composição.;Chopin;é o criador de;uma escola de piano;1;0;0.0;unknown;;
Em 1841, Léon Escudier escreveu sobre um recital de Chopin naquele ano Pode-se dizer que Chopin é o criador de uma escola de piano e escola de composição.;Chopin;é o criador de;uma escola de piano e escola de composição;1;0;0.0;unknown;;
Em setembro de 1828, Chopin, ainda estudante, visitou Berlim com um amigo de a família, o zoólogo Feliks Jarocki, desfrutando de óperas dirigidas por Gaspare Spontini e assistindo a concertos de Carl Friedrich Zelter, Felix Mendelssohn e outras celebridades.;Chopin;visitou;Berlim;1;1;;verb+obj;nsubj;obj
Em setembro de 1828, Chopin, ainda estudante, visitou Berlim com um amigo de a família, o zoólogo Feliks Jarocki, desfrutando de óperas dirigidas por Gaspare Spontini e assistindo a concertos de Carl Friedrich Zelter, Felix Mendelssohn e outras celebridades.;Chopin;visitou;Berlim com um amigo de a família o zoólogo Feliks Jarocki;0;1;;verb+obj[+obl];nsubj;obj
Em setembro de 1828, Chopin, ainda estudante, visitou Berlim com um amigo de a família, o zoólogo Feliks Jarocki, desfrutando de óperas dirigidas por Gaspare Spontini e assistindo a concertos de Carl Friedrich Zelter, Felix Mendelssohn e outras celebridades.;Chopin;visitou com;com um amigo de a família;0;1;;verb+nary-split;nsubj;obl
Em setembro de 1828, Chopin, ainda estudante, visitou Berlim com um amigo de a família, o zoólogo Feliks Jarocki, desfrutando de óperas dirigidas por Gaspare Spontini e assistindo a concertos de Carl Friedrich Zelter, Felix Mendelssohn e outras celebridades.;Chopin;visitou;Berlim com um amigo;1;0;0.0;unknown;;
A partir de 1236, o príncipe mongol Kublai, que mais tarde governou como Khagan de 1260 a 1294, recebeu um grande appanage em o norte de a China por seu superior, Ögedei Khan.;o príncipe mongol;recebeu;um grande appanage;0;1;;verb+obj;nsubj;obj
A partir de 1236, o príncipe mongol Kublai, que mais tarde governou como Khagan de 1260 a 1294, recebeu um grande appanage em o norte de a China por seu superior, Ögedei Khan.;o príncipe mongol;recebeu;um grande appanage em o norte de a China;0;1;;verb+obj[+obl];nsubj;obj
A partir de 1236, o príncipe mongol Kublai, que mais tarde governou como Khagan de 1260 a 1294, recebeu um grande appanage em o norte de a China por seu superior, Ögedei Khan.;o príncipe mongol;recebeu em;em o norte de a China;0;1;;verb+nary-split;nsubj;obl
A partir de 1236, o príncipe mongol Kublai, que mais tarde governou como Khagan de 1260 a 1294, recebeu um grande appanage em o norte de a China por seu superior, Ögedei Khan.;Kublai;recebeu;um grande appanage em o norte de a China;1;0;0.0;unknown;;
Dreyfus escreve que depois que o Phagmodrupa perdeu seu poder centralizador sobre o Tibete em 1434, várias tentativas de outras famílias para estabelecer hegemonias falharam em os próximos dois séculos até 1642 com a efetiva hegemonia de o 5º Dalai Lama sobre o Tibete.;o Phagmodrupa;perdeu;seu poder centralizador sobre o Tibete;1;1;;verb+obj;nsubj;obj
Dreyfus escreve que depois que o Phagmodrupa perdeu seu poder centralizador sobre o Tibete em 1434, várias tentativas de outras famílias para estabelecer hegemonias falharam em os próximos dois séculos até 1642 com a efetiva hegemonia de o 5º Dalai Lama sobre o Tibete.;o Phagmodrupa;perdeu;seu poder centralizador sobre o Tibete em 1434;0;1;;verb+obj[+obl];nsubj;obj
Dreyfus escreve que depois que o Phagmodrupa perdeu seu poder centralizador sobre o Tibete em 1434, várias tentativas de outras famílias para estabelecer hegemonias falharam em os próximos dois séculos até 1642 com a efetiva hegemonia de o 5º Dalai Lama sobre o Tibete.;várias tentativas de outras famílias;falharam em;os próximos dois séculos;0;1;;verb+obl;nsubj;obl
Dreyfus escreve que depois que o Phagmodrupa perdeu seu poder centralizador sobre o Tibete em 1434, várias tentativas de outras famílias para estabelecer hegemonias falharam em os próximos dois séculos até 1642 com a efetiva hegemonia de o 5º Dalai Lama sobre o Tibete.;Dreyfus;escreve;que depois que o Phagmodrupa perdeu seu poder centralizador em 1434;0;1;;verb+ccomp;nsubj;ccomp
Dreyfus escreve que depois que o Phagmodrupa perdeu seu poder centralizador sobre o Tibete em 1434, várias tentativas de outras famílias para estabelecer hegemonias falharam em os próximos dois séculos até 1642 com a efetiva hegemonia de o 5º Dalai Lama sobre o Tibete.;Dreyfus;escreve;várias tentativas falharam em os próximos dois séculos até 1642 com a efetiva hegemonia;0;1;;verb+ccomp;nsubj;ccomp
Dreyfus escreve que depois que o Phagmodrupa perdeu seu poder centralizador sobre o Tibete em 1434, várias tentativas de outras famílias para estabelecer hegemonias falharam em os próximos dois séculos até 1642 com a efetiva hegemonia de o 5º Dalai Lama sobre o Tibete.;o Phagmodrupa;perdeu em;em 1434;0;1;;verb+nary-split;nsubj;obl
Dreyfus escreve que depois que o Phagmodrupa perdeu seu poder centralizador sobre o Tibete em 1434, várias tentativas de outras famílias para estabelecer hegemonias falharam em os próximos dois séculos até 1642 com a efetiva hegemonia de o 5º Dalai Lama sobre o Tibete.;várias tentativas de outras famílias;falharam com;com a efetiva hegemonia de o 5º Dalai Lama sobre o Tibete;0;1;;verb+nary-split;nsubj;obl
Quando o imperador Ming Yongle convidou Je Tsongkhapa (1357-1419), fundador de a escola Gelug, para ir a a corte Ming e prestar homenagem, este último recusou.;o imperador;convidou;Je Tsongkhapa 1357-1419 fundador de a escola Gelug;0;1;;verb+obj;nsubj;obj
Quando o imperador Ming Yongle convidou Je Tsongkhapa (1357-1419), fundador de a escola Gelug, para ir a a corte Ming e prestar homenagem, este último recusou.;o imperador Ming Yongle;convidou;Je Tsongkhapa;1;0;0.0;unknown;;
Chen Qingying afirma que Tsongkhapa escreveu uma carta para recusar o convite de o Imperador e, nesta resposta, Tsongkhapa escreveu;Tsongkhapa;escreveu;uma carta;1;1;;verb+obj;nsubj;obj
Chen Qingying afirma que Tsongkhapa escreveu uma carta para recusar o convite de o Imperador e, nesta resposta, Tsongkhapa escreveu;Chen Qingying;afirma;que Tsongkhapa escreveu uma carta;0;1;;verb+ccomp;nsubj;ccomp
Chen Qingying afirma que Tsongkhapa escreveu uma carta para recusar o convite de o Imperador e, nesta resposta, Tsongkhapa escreveu;Tsongkhapa;escreveu;uma carta para recusar o convite de o Imperador;1;0;0.0;unknown;;
No entanto, depois que Altan Khan (1507-1582) - líder de os mongóis Tümed que derrubou a hegemonia de a confederação Oirat Mongol sobre as estepes - fez as pazes com a dinastia Ming em 1571, ele persuadiu os Ming a reabrir seus mercados de fronteira em 1573.;Altan Khan;fez;as pazes;0;1;;verb+obj;nsubj;obj
No entanto, depois que Altan Khan (1507-1582) - líder de os mongóis Tümed que derrubou a hegemonia de a confederação Oirat Mongol sobre as estepes - fez as pazes com a dinastia Ming em 1571, ele persuadiu os Ming a reabrir seus mercados de fronteira em 1573.;Altan Khan;fez;as pazes com a dinastia Ming;1;1;;verb+obj[+obl];nsubj;obj
No entanto, depois que Altan Khan (1507-1582) - líder de os mongóis Tümed que derrubou a hegemonia de a confederação Oirat Mongol sobre as estepes - fez as pazes com a dinastia Ming em 1571, ele persuadiu os Ming a reabrir seus mercados de fronteira em 1573.;ele;persuadiu;a reabrir seus mercados em 1573;0;1;;verb+xcomp;nsubj;xcomp
No entanto, depois que Altan Khan (1507-1582) - líder de os mongóis Tümed que derrubou a hegemonia de a confederação Oirat Mongol sobre as estepes - fez as pazes com a dinastia Ming em 1571, ele persuadiu os Ming a reabrir seus mercados de fronteira em 1573.;Altan Khan;fez com;com a dinastia;0;1;;verb+nary-split;nsubj;obl
No entanto, depois que Altan Khan (1507-1582) - líder de os mongóis Tümed que derrubou a hegemonia de a confederação Oirat Mongol sobre as estepes - fez as pazes com a dinastia Ming em 1571, ele persuadiu os Ming a reabrir seus mercados de fronteira em 1573.;Altan Khan;fez em;em 1571;0;1;;verb+nary-split;nsubj;obl
No entanto, depois que Altan Khan (1507-1582) - líder de os mongóis Tümed que derrubou a hegemonia de a confederação Oirat Mongol sobre as estepes - fez as pazes com a dinastia Ming em 1571, ele persuadiu os Ming a reabrir seus mercados de fronteira em 1573.;Altan Khan;fez;as pazes com a dinastia Ming em 1571;1;0;0.0;unknown;;
No entanto, depois que Altan Khan (1507-1582) - líder de os mongóis Tümed que derrubou a hegemonia de a confederação Oirat Mongol sobre as estepes - fez as pazes com a dinastia Ming em 1571, ele persuadiu os Ming a reabrir seus mercados de fronteira em 1573.;Altan Khan;fez as pazes com;a dinastia Ming;1;0;0.0;unknown;;
No entanto, depois que Altan Khan (1507-1582) - líder de os mongóis Tümed que derrubou a hegemonia de a confederação Oirat Mongol sobre as estepes - fez as pazes com a dinastia Ming em 1571, ele persuadiu os Ming a reabrir seus mercados de fronteira em 1573.;Altan Khan;fez as pazes com;a dinastia Ming em 1571;1;0;0.0;unknown;;
Klieger escreve que a presença de Altan Khan em o oeste reduziu efetivamente a influência de os Ming e o contato com o Tibete.;a presença de Altan Khan em o oeste;reduziu;a influência de os Ming;1;1;;verb+obj[coord];nsubj;obj
Klieger escreve que a presença de Altan Khan em o oeste reduziu efetivamente a influência de os Ming e o contato com o Tibete.;a presença de Altan Khan em o oeste;reduziu;o contato com o Tibete;1;1;;verb+obj[coord];nsubj;obj
Klieger escreve que a presença de Altan Khan em o oeste reduziu efetivamente a influência de os Ming e o contato com o Tibete.;Klieger;escreve;que a presença reduziu efetivamente a influência;0;1;;verb+ccomp;nsubj;ccomp
Klieger escreve que a presença de Altan Khan em o oeste reduziu efetivamente a influência de os Ming e o contato com o Tibete.;a presença de Altan Khan em o oeste;reduziu;a influência de os Ming e o contato com o Tibete;1;0;0.0;unknown;;
Depois que Altan Khan fez as pazes com a dinastia Ming em 1571, ele convidou o terceiro hierarca de a Gelug - Sönam Gyatso (1543-1588) - para encontrá-lo em Amdo (Qinghai moderno) em 1578, onde acidentalmente concedeu a ele e seus dois antecessores com o título de Dalai Lama - Professor de o Oceano.;Altan Khan;fez;as pazes com a dinastia Ming;1;1;;verb+obj;nsubj;obj
Depois que Altan Khan fez as pazes com a dinastia Ming em 1571, ele convidou o terceiro hierarca de a Gelug - Sönam Gyatso (1543-1588) - para encontrá-lo em Amdo (Qinghai moderno) em 1578, onde acidentalmente concedeu a ele e seus dois antecessores com o título de Dalai Lama - Professor de o Oceano.;Altan Khan;fez;as pazes com a dinastia Ming em 1571;0;1;;verb+obj[+obl];nsubj;obj
Depois que Altan Khan fez as pazes com a dinastia Ming em 1571, ele convidou o terceiro hierarca de a Gelug - Sönam Gyatso (1543-1588) - para encontrá-lo em Amdo (Qinghai moderno) em 1578, onde acidentalmente concedeu a ele e seus dois antecessores com o título de Dalai Lama - Professor de o Oceano.;Altan Khan;fez em;em 1571;0;1;;verb+nary-split;nsubj;obl
Depois que Altan Khan fez as pazes com a dinastia Ming em 1571, ele convidou o terceiro hierarca de a Gelug - Sönam Gyatso (1543-1588) - para encontrá-lo em Amdo (Qinghai moderno) em 1578, onde acidentalmente concedeu a ele e seus dois antecessores com o título de Dalai Lama - Professor de o Oceano.;Altan Khan;fez as pazes com;a dinastia Ming;1;0;0.0;unknown;;
Embora não tenha sido registrada em nenhum registro oficial chinês, a biografia de Sonam Gyatso afirma que Wanli novamente conferiu títulos a Sonam Gyatso em 1588 e o convidou para Pequim por a segunda vez, mas Sonam Gyatso não pôde visitar a China, pois morreu em o mesmo ano em a Mongólia.;Wanli;conferiu;títulos;0;1;;verb+obj;nsubj;obj
Embora não tenha sido registrada em nenhum registro oficial chinês, a biografia de Sonam Gyatso afirma que Wanli novamente conferiu títulos a Sonam Gyatso em 1588 e o convidou para Pequim por a segunda vez, mas Sonam Gyatso não pôde visitar a China, pois morreu em o mesmo ano em a Mongólia.;Wanli;conferiu;títulos em 1588;0;1;;verb+obj[+obl];nsubj;obj
Embora não tenha sido registrada em nenhum registro oficial chinês, a biografia de Sonam Gyatso afirma que Wanli novamente conferiu títulos a Sonam Gyatso em 1588 e o convidou para Pequim por a segunda vez, mas Sonam Gyatso não pôde visitar a China, pois morreu em o mesmo ano em a Mongólia.;Sonam Gyatso;pôde visitar;a China;0;1;;modal+verb;nsubj;obj
Embora não tenha sido registrada em nenhum registro oficial chinês, a biografia de Sonam Gyatso afirma que Wanli novamente conferiu títulos a Sonam Gyatso em 1588 e o convidou para Pequim por a segunda vez, mas Sonam Gyatso não pôde visitar a China, pois morreu em o mesmo ano em a Mongólia.;a biografia de Sonam Gyatso;afirma;que Wanli novamente conferiu títulos a Sonam Gyatso em 1588;0;1;;verb+ccomp;nsubj;ccomp
Embora não tenha sido registrada em nenhum registro oficial chinês, a biografia de Sonam Gyatso afirma que Wanli novamente conferiu títulos a Sonam Gyatso em 1588 e o convidou para Pequim por a segunda vez, mas Sonam Gyatso não pôde visitar a China, pois morreu em o mesmo ano em a Mongólia.;Sonam Gyatso;não pôde;visitar a China;0;1;;verb+xcomp;nsubj;xcomp
Embora não tenha sido registrada em nenhum registro oficial chinês, a biografia de Sonam Gyatso afirma que Wanli novamente conferiu títulos a Sonam Gyatso em 1588 e o convidou para Pequim por a segunda vez, mas Sonam Gyatso não pôde visitar a China, pois morreu em o mesmo ano em a Mongólia.;Wanli;conferiu em;em 1588;0;1;;verb+nary-split;nsubj;obl
Embora não tenha sido registrada em nenhum registro oficial chinês, a biografia de Sonam Gyatso afirma que Wanli novamente conferiu títulos a Sonam Gyatso em 1588 e o convidou para Pequim por a segunda vez, mas Sonam Gyatso não pôde visitar a China, pois morreu em o mesmo ano em a Mongólia.;Sonam Gyatso;não pôde visitar;a China;1;0;0.0;unknown;;
Sem mencionar o papel de os mongóis, o China Daily afirma que foi a sucessiva dinastia Qing que estabeleceu o título de Dalai Lama e seu poder em o Tibete Em 1653, o imperador Qing concedeu um título honorífico a o quinto Dalai Lama e depois o fez.;o imperador;concedeu;um título honorífico;0;1;;verb+obj;nsubj;obj
Sem mencionar o papel de os mongóis, o China Daily afirma que foi a sucessiva dinastia Qing que estabeleceu o título de Dalai Lama e seu poder em o Tibete Em 1653, o imperador Qing concedeu um título honorífico a o quinto Dalai Lama e depois o fez.;o imperador;concedeu;um título honorífico a o quinto Dalai Lama;0;1;;verb+obj[+obl];nsubj;obj
Sem mencionar o papel de os mongóis, o China Daily afirma que foi a sucessiva dinastia Qing que estabeleceu o título de Dalai Lama e seu poder em o Tibete Em 1653, o imperador Qing concedeu um título honorífico a o quinto Dalai Lama e depois o fez.;o China Daily;afirma;que a sucessiva dinastia;0;1;;verb+ccomp;nsubj;ccomp
Sem mencionar o papel de os mongóis, o China Daily afirma que foi a sucessiva dinastia Qing que estabeleceu o título de Dalai Lama e seu poder em o Tibete Em 1653, o imperador Qing concedeu um título honorífico a o quinto Dalai Lama e depois o fez.;o China Daily;afirma;o imperador concedeu um título honorífico a o quinto Dalai Lama;0;1;;verb+ccomp;nsubj;ccomp
Sem mencionar o papel de os mongóis, o China Daily afirma que foi a sucessiva dinastia Qing que estabeleceu o título de Dalai Lama e seu poder em o Tibete Em 1653, o imperador Qing concedeu um título honorífico a o quinto Dalai Lama e depois o fez.;o imperador Qing;concedeu;um título honorífico a o quinto Dalai Lama;1;0;0.0;unknown;;
Sem mencionar o papel de os mongóis, o China Daily afirma que foi a sucessiva dinastia Qing que estabeleceu o título de Dalai Lama e seu poder em o Tibete Em 1653, o imperador Qing concedeu um título honorífico a o quinto Dalai Lama e depois o fez.;o imperador Qing;concedeu um título honorífico a;o quinto Dalai Lama;1;0;0.0;unknown;;
O imperador Wanli convidou Yonten Gyatso para Pequim em 1616, mas, assim como seu antecessor, ele morreu antes de poder fazer a jornada.;O imperador;convidou;Yonten Gyatso;0;1;;verb+obj;nsubj;obj
O imperador Wanli convidou Yonten Gyatso para Pequim em 1616, mas, assim como seu antecessor, ele morreu antes de poder fazer a jornada.;O imperador;convidou;Yonten Gyatso para Pequim;0;1;;verb+obj[+obl];nsubj;obj
O imperador Wanli convidou Yonten Gyatso para Pequim em 1616, mas, assim como seu antecessor, ele morreu antes de poder fazer a jornada.;O imperador;convidou para;para Pequim;0;1;;verb+nary-split;nsubj;obl
O imperador Wanli convidou Yonten Gyatso para Pequim em 1616, mas, assim como seu antecessor, ele morreu antes de poder fazer a jornada.;O imperador;convidou em;em 1616;0;1;;verb+nary-split;nsubj;obl
